data,turno,premio1,premio2,premio3,premio4,premio5,premio6,premio7,premio8,premio9,premio10
25/06/2019,Primeira Extração,4701,8478,9051,9138,3644,6421,0793,4476,5068,1597
24/06/2019,segunda extração,7438,0727,7197,2089,8267,1919,1196,0938,4184,3925
24/06/2019,Primeira Extração,9230,8235,4130,1083,1276,5907,0647,6936,7680,7929
22/06/2019,Segunda Extração,7757,3162,2445,3883,0840,0594,7865,3278,1177,5781
22/06/2019,Primeira Extração,0249,4552,9171,5869,2838,1413,9813,0278,1483,2677
21/06/2019,Segunda extração,2879,9411,2031,2646,7613,0027,4766,0148,0427,1616
21/06/2019,Primeira Extração,2754,4186,8110,4941,7307,5221,9948,8660,5163,2961
19/06/2019,segunda extração,7395,9310,9809,0451,8701,0268,2456,1052,5358,2378
19/06/2019,Primeira Extração,2938,1105,6598,4207,7764,2613,3110,1022,8157,5395
18/06/2019,segunda extração,1133,7957,0532,0388,2732,5446,9753,9464,2011,4097
18/06/2019,Primeira Extração,0385,3845,7676,2129,4203,6827,0782,0491,3362,6723
17/06/2019,segunda extração,4536,4496,9104,7827,5532,6084,7343,5606,6022,0404
17/06/2019,Primeira Extração,1034,3332,1294,0370,0991,6453,0820,9298,3474,5179
15/06/2019,Segunda Extração,8407,6987,0691,6943,5025,9525,7165,3542,7131,6722
15/06/2019,Primeira Extração,9259,2049,5059,6088,0792,5454,9372,2135,2513,9667
14/06/2019,Segunda Extração,6362,5754,7735,5837,3695,6723,6625,9789,3597,6876
14/06/2019,Primeira Extração,8331,4063,7919,5787,5627,5580,2859,1081,9516,4571
13/06/2019,Segunda Extração,8800,0123,1164,5981,4980,3540,8071,6761,9057,5593
13/06/2019,Primeira Extração,6667,0306,5651,3724,2217,2832,2370,6075,0767,4406
12/06/2019,Segunda Extração,1972,9398,7888,8024,4517,7207,7328,4195,9780,2767
12/06/2019,Primeira Extração,3262,4172,6301,4647,9007,6665,1413,6837,7355,2404
11/06/2019,Segunda Extração,5096,0014,0980,3603,4053,1632,9184,6806,3432,4780
11/06/2019,Primeira Extração,3538,8304,8926,0275,1224,5484,5045,9391,9678,6707
10/06/2019,Segunda Extração,4288,7322,5025,5675,4636,6812,1964,0635,0502,2023
10/06/2019,Primeira Extração,2362,6931,4068,9197,2842,0482,9252,4458,0972,0618
08/06/2019,Segunda Extração,5939,5348,3421,8169,3948,6871,1502,8290,2731,5817
08/06/2019,Primeira Extração,8050,0029,1020,2244,5185,2745,2416,7012,1330,3799
07/06/2019,Segunda Extração,5367,2953,0335,9474,3566,5419,4872,5434,5613,2862
07/06/2019,Primeira Extração,5349,3638,2751,7412,8924,0469,8144,6819,2610,6760
06/06/2019,Segunda Extração,0070,4288,7246,4244,0577,8236,1408,1022,1154,7331
06/06/2019,Primeira Extração,7242,6359,3084,5237,3680,8443,4584,0658,2397,6821
05/06/2019,Segunda Extração,6926,7912,1678,9163,5788,2538,3136,9878,5071,9484
05/06/2019,Primeira Extração,5369,9537,5931,2345,8844,4635,5095,3363,5313,5396
04/06/2019,Segunda Extração,7020,7039,9226,2207,1095,1041,3486,3979,1947,4700
04/06/2019,Primeira Extração,4046,8373,1995,9549,5921,3592,0438,6929,0289,0670
03/06/2019,Segunda Extração,9562,6838,3304,3754,0312,6300,5601,2478,3852,4803
03/06/2019,Primeira Extração,3211,0533,5240,4404,5970,0243,0179,1305,5386,5217
01/06/2019,Segunda Extração,5819,7746,5846,4911,5459,6760,4342,0043,4538,1918
01/06/2019,Primeira Extração,5414,8835,1334,2681,5359,7672,7751,7936,7206,5583
31/05/2019,Segunda Extração,3158,9909,9796,7830,0141,4452,8487,2825,5001,4365
31/05/2019,Primeira Extração,9565,2103,0760,0422,5075,1471,4133,2454,3004,9243
30/05/2019,Segunda Extração,6239,9756,5714,1364,8148,7703,9791,4507,7749,0143
30/05/2019,Primeira Extração,3452,6477,2361,4313,6270,3707,3485,5635,1265,7834
29/05/2019,Segunda Extração,4042,7168,2066,0246,8756,5380,2526,8395,4619,5286
29/05/2019,Primeira Extração,8641,1303,7099,3814,8609,4146,3950,7995,8688,0736
28/05/2019,Segunda Extração,9882,4317,3360,6550,4266,5323,1510,8691,4655,5872
28/05/2019,Primeira Extração,9226,7507,1931,6929,9063,0136,8972,9018,9490,9225
27/05/2019,Segunda Extração,0694,7218,0181,8590,3895,5332,5953,1863,5215,8115
27/05/2019,Primeira Extração,1516,9708,2404,3314,4454,7448,2648,2188,3839,9016
25/05/2019,Segunda Extração,6490,0343,2662,6677,2064,3178,7865,2417,0899,1541
25/05/2019,Primeira Extração,2832,7391,0984,3110,9606,4267,9279,7151,5822,4994
24/05/2019,Segunda Extração,4755,3954,2545,3242,0508,0314,4193,7788,8788,7450
24/05/2019,Primeira Extração,5223,9521,5308,2468,4911,7967,7604,1490,5662,1824
23/05/2019,Segunda Extração,6586,7786,6559,4067,1817,1139,3891,0708,6905,1583
23/05/2019,Primeira Extração,0516,4108,8026,0879,6951,4240,4070,9040,1017,9424
22/05/2019,Segunda Extração,3515,9090,6045,5551,5859,4688,9613,6077,4967,6350
22/05/2019,Primeira Extração,2032,0958,7432,6935,1142,2544,6749,9206,7136,5206
21/05/2019,Segunda Extração,1020,3574,5103,9613,8159,6043,4086,9645,2389,9095
21/05/2019,Primeira Extração,0784,5793,0759,5598,1072,8158,8849,7959,0456,5732
20/05/2019,Segunda Extração,3954,6408,3344,9075,4209,5459,7997,9887,4029,1638
20/05/2019,Primeira Extração,9835,1282,3760,1184,7261,9884,7067,6780,0989,5195
18/05/2019,Segunda Extração,7965,5801,4206,5022,8101,1906,3835,5075,0391,6961
18/05/2019,Primeira Extração,6894,5205,9208,8247,4855,7842,1032,9541,5657,1148
17/05/2019,Segunda Extração,4080,0632,6860,9771,4909,4650,7059,3455,0280,6664
17/05/2019,Primeira Extração,4865,6048,5436,5531,9252,7917,2007,3484,9233,5117
16/05/2019,Segunda Extração,0152,3339,1571,5811,4648,0949,3320,4385,0555,8365
16/05/2019,Primeira Extração,9539,6683,1366,1080,8779,0616,0905,9957,2768,1192
15/05/2019,Segunda Extração,8889,6562,9209,6850,4477,1412,4663,0515,8014,6967
15/05/2019,Primeira Extração,2520,6674,5236,7378,1077,6343,1838,6758,2559,6651
14/05/2019,Segunda Extração,3509,6724,6648,1017,5945,0953,5300,0509,5493,3523
14/05/2019,Primeira Extração,1921,6075,7064,2669,6538,1740,3399,3498,7291,5228
13/05/2019,Segunda Extração,1362,6383,8539,3061,5014,7103,0769,1699,4125,1973
13/05/2019,Primeira Extração,1960,5908,7694,1864,8066,9929,8285,3639,2896,0927
11/05/2019,Segunda Extração,9695,6644,3161,2416,9892,6012,4009,6722,0379,3601
11/05/2019,Primeira Extração,5029,1204,2030,3349,5078,0219,4918,1104,5481,7041
10/05/2019,Segunda Extração,6992,6051,1535,8936,6574,7226,4510,7824,1303,5165
10/05/2019,Primeira Extração,3808,2110,5107,4808,2948,5904,5214,0887,9275,9790
09/05/2019,Segunda Extração,1986,1584,3179,0499,3748,6125,5829,7966,4675,5305
